Guid	ID	Name	LocalizedName	#	Shortcut
{2A8866DC-7BDE-4DC8-A360-A60679534384}	1	View.Notifications	表示.通知	2	全体::Ctrl+W, Ctrl+N
{EB2F90AC-EE02-4A6A-8294-6E96E273EE97}	16	Architecture.NewDependencyValidationDiagram	アーキテクチャ.新しい依存関係検証ダイアグラム	1	全体::Ctrl+\, Ctrl+N
{D63DB1F0-404E-4B21-9648-CA8D99245EC3}	36	SolutionExplorer.SyncWithActiveDocument	エディターコンテキストメニュー.ナビゲート.アクティブドキュメントとの同期	1	全体::Ctrl+[, S
{D63DB1F0-404E-4B21-9648-CA8D99245EC3}	36	SolutionExplorer.SyncWithActiveDocument	エディターコンテキストメニュー.ナビゲート.アクティブドキュメントとの同期	2	全体::Ctrl+[, Ctrl+S
{D7E8C5E1-BDB8-11D0-9C88-0000F8040A53}	15023	View.SynchronizeViews	表示.ビューの同期	1	HTML エディター ソース ビュー::Ctrl+Shift+Y
{6CD672F5-9C1A-11D1-ADE3-00C04FB6BE4C}	35113	EditorContextMenus.CodeWindow.ToggleHeaderCodeFile	エディターコンテキストメニュー.コードウィンドウ.ヘッダーコードファイルの切り替え	1	全体::Ctrl+K, Ctrl+O
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	18	Tools.RefreshSuggestions	ツール.RefreshSuggestions	1	Microsoft SQL Server Data Tools, T-SQL Editor::Ctrl+Shift+D
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	18	Tools.RefreshSuggestions	ツール.RefreshSuggestions	2	Microsoft SQL Server Data Tools, テーブル デザイナー::Ctrl+Shift+D
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	18	Tools.RefreshSuggestions	ツール.RefreshSuggestions	3	Microsoft SQL Server Data Tools, T-SQL PDW エディター::Ctrl+Shift+D
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	0	Tools.EnableSuggestions	ツール.EnableSuggestions	1	Microsoft SQL Server Data Tools, T-SQL Editor::Ctrl+Shift+P
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	0	Tools.EnableSuggestions	ツール.EnableSuggestions	2	Microsoft SQL Server Data Tools, テーブル デザイナー::Ctrl+Shift+P
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	0	Tools.EnableSuggestions	ツール.EnableSuggestions	3	Microsoft SQL Server Data Tools, T-SQL PDW エディター::Ctrl+Shift+P
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	6	Tools.ApplyCasingOptions	ツール.ApplyCasingOptions	1	Microsoft SQL Server Data Tools, T-SQL Editor::Ctrl+B, Ctrl+U
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	6	Tools.ApplyCasingOptions	ツール.ApplyCasingOptions	2	Microsoft SQL Server Data Tools, テーブル デザイナー::Ctrl+B, Ctrl+U
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	6	Tools.ApplyCasingOptions	ツール.ApplyCasingOptions	3	Microsoft SQL Server Data Tools, T-SQL PDW エディター::Ctrl+B, Ctrl+U
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	9	Tools.QualifyObjectNames	ツール.QualifyObjectNames	1	Microsoft SQL Server Data Tools, T-SQL Editor::Ctrl+B, Ctrl+Q
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	9	Tools.QualifyObjectNames	ツール.QualifyObjectNames	2	Microsoft SQL Server Data Tools, テーブル デザイナー::Ctrl+B, Ctrl+Q
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	9	Tools.QualifyObjectNames	ツール.QualifyObjectNames	3	Microsoft SQL Server Data Tools, T-SQL PDW エディター::Ctrl+B, Ctrl+Q
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	8	Tools.ExpandWildcards	ツール.ExpandWildcards	1	Microsoft SQL Server Data Tools, T-SQL Editor::Ctrl+B, Ctrl+W
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	8	Tools.ExpandWildcards	ツール.ExpandWildcards	2	Microsoft SQL Server Data Tools, テーブル デザイナー::Ctrl+B, Ctrl+W
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	8	Tools.ExpandWildcards	ツール.ExpandWildcards	3	Microsoft SQL Server Data Tools, T-SQL PDW エディター::Ctrl+B, Ctrl+W
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	7	Tools.InsertSemicolons	ツール.InsertSemicolons	1	Microsoft SQL Server Data Tools, T-SQL Editor::Ctrl+B, Ctrl+C
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	7	Tools.InsertSemicolons	ツール.InsertSemicolons	2	Microsoft SQL Server Data Tools, テーブル デザイナー::Ctrl+B, Ctrl+C
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	7	Tools.InsertSemicolons	ツール.InsertSemicolons	3	Microsoft SQL Server Data Tools, T-SQL PDW エディター::Ctrl+B, Ctrl+C
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	10	Tools.RemoveSquareBrackets	ツール.RemoveSquareBrackets	1	Microsoft SQL Server Data Tools, T-SQL Editor::Ctrl+B, Ctrl+B
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	10	Tools.RemoveSquareBrackets	ツール.RemoveSquareBrackets	2	Microsoft SQL Server Data Tools, テーブル デザイナー::Ctrl+B, Ctrl+B
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	10	Tools.RemoveSquareBrackets	ツール.RemoveSquareBrackets	3	Microsoft SQL Server Data Tools, T-SQL PDW エディター::Ctrl+B, Ctrl+B
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	12	Tools.SummarizeScript	ツール.SummarizeScript	1	Microsoft SQL Server Data Tools, T-SQL Editor::Ctrl+B, Ctrl+S
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	12	Tools.SummarizeScript	ツール.SummarizeScript	2	Microsoft SQL Server Data Tools, テーブル デザイナー::Ctrl+B, Ctrl+S
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	12	Tools.SummarizeScript	ツール.SummarizeScript	3	Microsoft SQL Server Data Tools, T-SQL PDW エディター::Ctrl+B, Ctrl+S
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	11	Tools.FindUnusedVariablesandParameters	ツール.FindUnusedVariablesandParameters	1	Microsoft SQL Server Data Tools, T-SQL Editor::Ctrl+B, Ctrl+F
